DATE TIME;Fdw;Tdw;Ta;Pa;Thwi;Thwo
6/11/2018 02:26;14,99588;14,1;14,3;477,4278;59,2;31,1
6/11/2018 02:27;0;14,1;14,2;468,2596;59,5;32,3
6/11/2018 02:27;0;14,1;14,2;467,2797;59,5;32,4
6/11/2018 02:28;0;14,1;14,2;491,1453;59,9;40,1
6/11/2018 02:30;0;14,1;14,3;476,518;59,8;43,3
6/11/2018 02:30;0;14,1;14,3;476,448;59,8;43,3
6/11/2018 02:31;0;14,1;14,1;474,6284;59,5;46,4
6/11/2018 02:31;0;14,1;14,1;486,8994;59,5;46,5
6/11/2018 02:32;0;14;14;481,977;59,2;48,6
6/11/2018 02:32;0;14,1;14;470,3125;59,2;48,6
6/11/2018 02:32;0;14,1;14;467,0698;59,2;48,7
6/11/2018 02:33;0;14,1;14,2;475,4682;58,8;48,9
6/11/2018 02:34;0;14;14,1;474,675;58,4;49
6/11/2018 02:35;0;14;14;469,1461;58,2;48,8
6/11/2018 02:35;0;14;14;471,7822;58,2;48,8
6/11/2018 02:36;0;14;14,1;474,6517;57,9;48,6
6/11/2018 02:36;0;14;14,1;486,5262;57,9;48,6
6/11/2018 02:37;0;14;13,9;482,9102;57,6;48,4
6/11/2018 02:37;0;14;13,9;482,9102;57,6;48,4
6/11/2018 02:38;14,84657;14;13,9;467,3264;57,4;48,1
6/11/2018 02:38;14,79525;14;13,9;471,6656;57,4;48
6/11/2018 02:39;15,03942;14;14,3;460,8643;57,1;36,1
6/11/2018 02:40;14,96944;14;14,2;493,9914;56,9;32
6/11/2018 02:41;15,05031;14,1;14,4;467,3031;56,6;31
6/11/2018 02:42;14,96944;14,1;14,4;466,3699;56,3;30,6
6/11/2018 02:42;14,99432;14,1;14,4;467,1631;56,3;30,6
6/11/2018 02:43;14,93989;14;14,2;463,0805;56,3;30,8
6/11/2018 02:43;14,92589;14;14,2;469,1461;56,3;30,9
6/11/2018 02:44;0;14;13,9;471,7822;56,6;37,7
6/11/2018 02:44;0;14;13,9;474,6517;56,6;37,8
6/11/2018 02:45;0;14;13,9;485,9662;56,9;40,2
6/11/2018 02:45;0;14;13,8;479,2475;56,9;40,2
6/11/2018 02:46;0;14;13,8;480,5073;57,2;43,7
6/11/2018 02:47;0;14;13,8;471,7822;57,6;46
6/11/2018 02:48;0;13,9;13,7;485,593;58;47,4
6/11/2018 02:49;0;13,9;13,6;500,2903;58,4;47,9
6/11/2018 02:49;0;13,9;13,6;489,349;58,4;48
6/11/2018 02:50;0;13,9;13,6;470,0793;58,8;48,3
6/11/2018 02:50;0;13,9;13,6;477,1246;58,8;48,3
6/11/2018 02:51;0;13,9;13,6;486,1295;59,2;48,6
6/11/2018 02:52;0;13,8;13,6;475,5849;59,6;48,8
6/11/2018 02:52;0;13,8;13,6;471,7822;59,6;48,8
6/11/2018 02:53;16,22454;13,9;13,6;465,9266;60;49,2
6/11/2018 02:53;15,81395;13,9;13,6;468,2362;60;49,2
6/11/2018 02:54;14,83257;13,8;13,6;484,1932;60;39,1
6/11/2018 02:54;14,84191;13,8;13,6;468,2129;60;38,9
6/11/2018 02:55;15,05964;13,8;13,6;476,518;59,8;33,1
6/11/2018 02:56;14,96322;13,8;13,5;483,4234;59,5;32
6/11/2018 02:56;14,93211;13,8;13,5;469,1927;59,5;32
6/11/2018 02:57;14,96166;13,8;13,5;471,0357;59,2;31,4
6/11/2018 02:57;14,94144;13,8;13,5;464,5036;59,2;31,4
6/11/2018 02:58;14,92589;13,8;13,4;472,8087;58,9;31,3
6/11/2018 02:59;14,95077;13,8;13,4;479,3175;58,9;31,3
6/11/2018 03:00;0;13,7;13,3;465,4134;58,5;38,5
6/11/2018 03:00;0;13,7;13,3;476,7746;58,5;38,6
6/11/2018 03:01;0;13,7;13,2;494,2714;58,1;41,7
6/11/2018 03:01;0;13,7;13,2;494,2714;58,1;41,7
6/11/2018 03:02;0;13,7;13,3;475,4915;57,7;44,4
6/11/2018 03:03;0;13,6;13,3;476,308;57,3;46,9
6/11/2018 03:04;0;13,6;13,2;479,3642;56,9;47,5
6/11/2018 03:05;0;13,6;13,4;475,2582;56,6;47,6
6/11/2018 03:05;0;13,6;13,4;493,1049;56,6;47,6
6/11/2018 03:06;0;13,6;13,4;489,349;56,3;47,3
6/11/2018 03:06;0;13,6;13,4;474,5817;56,3;47,2
6/11/2018 03:07;0;13,6;13,3;478,3843;56,3;47
6/11/2018 03:07;0;13,6;13,3;471,6422;56,3;47
6/11/2018 03:08;0;13,6;13,4;492,0551;56,6;46,9
6/11/2018 03:09;0,479022;13,6;13,5;482,9102;57,1;47,1
6/11/2018 03:10;15,03476;13,6;13,7;486,4562;57,5;38,8
6/11/2018 03:10;14,89167;13,6;13,7;471,8755;57,5;38,7
6/11/2018 03:11;15,04876;13,6;13,7;483,7967;58;32,1
6/11/2018 03:12;15,02854;13,7;13,7;475,6082;58,4;31,2
6/11/2018 03:12;15,07209;13,7;13,7;485,313;58,4;31,2
6/11/2018 03:13;14,92433;13,7;13,7;479,2942;58,8;30,8
6/11/2018 03:13;14,98499;13,7;13,7;471,9455;58,8;30,8
6/11/2018 03:14;14,98499;13,7;13,6;480,134;59,3;30,9
6/11/2018 03:14;15,00365;13,7;13,6;472,8087;59,3;30,9
6/11/2018 03:15;0;13,7;13,5;476,2847;59,6;37,7
6/11/2018 03:15;0;13,7;13,5;476,2847;59,6;37,7
6/11/2018 03:16;0;13,7;13,5;476,3781;60;42
6/11/2018 03:17;0;13,6;13,4;472,5988;60;45,5
6/11/2018 03:18;0;13,6;13,4;480,3906;59,7;48,1
6/11/2018 03:19;0;13,6;13,3;487,7393;59,4;49,2
6/11/2018 03:20;0;13,6;13,5;478,0111;59,1;49,2
6/11/2018 03:20;0;13,6;13,5;477,4512;59,1;49,2
6/11/2018 03:21;0;13,6;13,4;481,0672;58,7;49,2
6/11/2018 03:21;0;13,6;13,4;481,0438;58,7;49,2
6/11/2018 03:22;0;13,6;13,5;484,7065;58,5;49
6/11/2018 03:22;0;13,6;13,5;476,448;58,5;48,9
6/11/2018 03:23;0;13,6;13,6;488,3225;58,2;48,7
6/11/2018 03:24;0;13,6;13,5;472,5521;57,9;48,5
6/11/2018 03:25;14,94766;13,6;13,7;469,9626;57,7;40,8
6/11/2018 03:25;14,97099;13,6;13,7;482,6769;57,7;40,5
6/11/2018 03:26;15,00365;13,6;13,6;473,112;57,5;32,8
6/11/2018 03:27;15,02543;13,6;13,6;470,0326;57,2;31,4
6/11/2018 03:28;15,02543;13,6;13,6;470,0326;57,2;31,4
6/11/2018 03:29;15,02543;13,6;13,7;477,4278;56,8;30,7
6/11/2018 03:29;15,02543;13,6;13,7;477,4278;56,8;30,7
6/11/2018 03:30;15,03942;13,6;13,9;486,8061;56,5;30,5
6/11/2018 03:30;15,03942;13,6;13,9;486,8061;56,5;30,5
